Unnamed: 0,Направление,Дата создания,Текст
265,Мусор/Свалки/ТКО,2022-02-23,Сообщение без текста
266,Образование,2022-02-23,Школа 8го вида в Выборгском районе несомненно нужна! Но насчёт места для строительства спорить не буду... Понимаю жителей района. И само место я не видела. Возможно рядом со ст.м.Парнас есть местечко для строительства такой школы?
267,Образование,2022-02-23,садик 3года строить?<br>На берегу Нахимовского озера за 6м-цев котетжн.настроили для продажи.Со всеми коммуникациями!
268,Образование,2022-02-23,"Это проблема не только выборгского района, это проблема всего города! Почему школ и садов не хватает? Понастроили новостроек, а на счёт строительства соц.объектов особо не переживают!"
269,Общественный транспорт,2022-02-23,"Добрый вечер! Маршрут К-1 закрыли, а ничего, вместо него, не предложили. Каким образом добираться от театральной площади к Сенной???"
270,Автомобильные дороги,2022-02-23,"Администрация Приморского района так не хотела ставить ограждение газона, отправляла всех в непонятном направлении, не реагировала на обращение Фонтанки, что теперь газон после оттепели начали развозить колесами. И делают это все клиенты клиники Скандинавия, которая из-за своей жадности не предусмотрела парковку для своих клиентов и сотрудников."
271,Автомобильные дороги,2022-02-23,Сорвало знак. Может полностью оторвать. И повредить машины или людей
272,Мусор,2022-02-23,"Из контейнерной площадки по адресу Лиговский проспект, 114 лит Г плохо вывозят мусор. Постоянно переполненные баки."
273,Мусор,2022-02-23,"УК ООО ""Космосервис третья"". Адрес: Санкт-Петербург ул летчика лихолетова 14/2 На огромный двор с 4-мя домами две мусорки, и те в ужасном состоянии. Мусор валяется и не убирается под баками. Плюс наледь горбом. Около Мусорки даже песком не посыпано. Попробуй, подойди и не сломай ноги. Жители неоднократно видели бегающих мышей. И это новый дом, где толпы народу живут и коммуналку платят."
274,Мусор,2022-02-23,Переполнение мусорного контейнера. Не вывозится КГМ.
275,Мусор,2022-02-23,"Несколько дней не вывозится мусор, гора растёт!"
276,Мусор,2022-02-23,"Добрый день, мусор в жк палаццо не вывозится неделями, создаёт антисанитарные условия. Обращения в управляющую компанию не дают результат. Прошу оперативно решить проблему."
277,Мусор,2022-02-23,"Во дворе дома по адресу пр Обуховской Обороны, 243, Огромный мусорный контейнер не вывозят несколько месяцев! Когда уберут этот мусор из двора?"
278,Мусор,2022-02-23,"Управляющая компания вывозит мусорные баки прямо перед парадными задолго до вывоза мусора и мы все это время ходим мимо гор мусора. Сегодня же вывоз мусора вообще не состоялся и эти горы стоят день с самого утра. Прилагаю несколько фото, но такое происходит у каждой парадной нашего дома."
279,Мусор,2022-02-23,Не убирается мусор
280,Медицина,2022-02-23,"Недавно я болела и вызывала 24.01.2022 врача по номеру 122. Врач не приехал, когда мне стало лучше,а именно 31.01.2022 я пришла в 88 поликлинику. Меня не выписали, но открыли больничный с даты вызова врача, т е вызывала я его 24го , 25го я не пошла на работу. Сейчас узнала, что больничный был открыт с 26го. Можете вы поднять история вызова врача по номеру 122 24 января по адресу Петергофское шоссе дом 59 кВ 265 для Голубевой Анны. Нужно исправить дату открытия больничного листа . Спасибо"
281,Мусор,2022-02-23,"У нас частный дом в посёлке Александровская Пушкинского района города Санкт-Петербурга. После мусорной реформы от 01.01.2022, из нашего собственного контейнера, который переполнен до краев, мусор никто не вывозит. Соответственно, уже 2 месяца мы не знаем, что делать с этой проблемой и куда нам носить наш новый мусор, учитывая, что в радиусе даже 1 километра, организованные мусорные контейнеры отсутствуют. По правилам СанПиН, мусорный контейнер должен располагаться на расстоянии от 20 до 100 метров. Самое поразительное то, что в квитанции за январь, нам в счёт была включена услуга НЭО, в размере 320р. Но данная услуга нам не оказывается! Прошу разъяснить сложившуюся ситуацию."
282,Дворы и территории общего пользования,2022-02-23,Вновь демонтируйте незаконную рекламу.
283,Автомобильные дороги,2022-02-23,"УК Эксплуатация Главстрой ни разу за 2 года не убрала взъезд в паркинг 27-Н (въезд с ул. Розенштейна) горы песка и мусора, на жалобы жителей не реагирую совсем"
284,Мусор,2022-02-23,"В Колпинском районе г. СПб по адресу бульвар Трудящихся дом 17, рядом с домом находится место для сбора мусора, который не вывозят регулярно, а кроме всего мусор разбросан вокруг контейнера и разносится ветром ещё дальше. Зрелище жуткое, антисанитария полная, территория превратилась в ""свинарник"". Сколько может это продолжаться!??? Огромная просьба наладить регулярный вывоз мусора и очистку прилегающей территории!!!"
285,Автомобильные дороги,2022-02-23,"Плохая уборка снега на территории МКД, не обработан лёд, не вывозят снег с парковочных мест"
286,Многоквартирные дома,2022-02-23,7 парадная. Постоянно ломается лифт. Сейчас снова сломан. Для ЦУР: Калининский район. пр-т Мечникова д. 11.
287,Дворы и территории общего пользования,2022-02-23,"Не очищен пандус, гололед"
288,Автомобильные дороги,2022-02-23,Разломанная грузовыми машинами дорога
289,Общественный транспорт,2022-02-23,Не работает информационное табло прибытия общественного транспорта. Прошу принять меры для восстановления его работоспособности.
290,Дворы и территории общего пользования,2022-02-23,"Спуск по лестнице, к ресторану «Мясо и хлеб» (Коммуны, д. 63) - один сплошной каток."
291,Медицина,2022-02-23,"Добрый вечер. Не можем найти выход из положения. Подскажите пожалуйста. Мой сын учится в одном из вузов Санкт-Петербурга . Ранее проживал за рубежом , где и сделал прививки (3) от ковида P fiber. Последняя прививка была сделана 29 12.2021 года. Имеется справка европейского образца на английском языке. Однако его не пускают в общественные места ( музеи, театры, магазины,...) т.к. он привит P fiber, и нет кода . Что ему делать ведь он не может ещё раз привиться от ковида Спутником С уважением Наталья михайловна"
292,Многоквартирные дома,2022-02-23,"В 1-м подъезде по адресу: ул.Ярослава Гашека лом 12/100 по несколько месяцев не убирается 1-ый этаж, лестница убиралась только год назад! стены и углы - с грязью. Фото прилагаю, и так на каждом этаже. На жалобы УК ЖКС 3 не реагирует. Просьба принять соответствующие меры."
293,Дворы и территории общего пользования,2022-02-23,"темнота, ни одного фонарного столба"
294,Дворы и территории общего пользования,2022-02-23,"Добрый день! Второй раз за этот месяц ЖКС 2 вешает такие объявления по адресу Тихорецкий 31/2. Первый раз данное объявление было повешено об уборке 12.02.22, в этот раз уборку планировали на 22.02.22. Во дворе со стороны Тихорецкого было минимальное кол-во машин, но к уборке за весь день Жилконтора даже не притрагивалась. Интересно, проведено ли это было документально, что контора уборкой якобы «занималась» в данные дни. Требую провести проверку по данному вопросу, очень уж интересно, почему объявления у нас появляются, а обещанную зачистку так и не провели. Хотя она нам, вполне себе, нужна."
295,Многоквартирные дома,2022-02-23,"Обещали в январе сделать окна а так никто ничего не сделал, как были они открыты так и остались открыты. За что платим деньги????"
296,Медицина,2022-02-23,Добрый день Я недавно болел ковидом У меня на госуслугах не появился QR-код Мои данные Подгорышев Андрей Викторович 05.02.2022 Полис в пос.Ленсоветовский.
297,Многоквартирные дома,2022-02-23,"В кв. 36 уже больше года длиться ремонт. Всё это время мы живём в грязи. Вся парадная включая лестницу, стены, двери квартир, почтовые ящики, окна находятся под толстым слоем строительной пыли. Т. К. Мешки с мусором рабочие скидывали с 5 этажа. А сейчас мусор просто складируется на лестнице. Хозяйка квартиры считает, что она не должна всё это за собой убирать. Просим содействия по наведению порядка и чистоты на лестнице."
298,Автомобильные дороги,2022-02-23,"Паркоматы работают через один. Клавиатура вся стёрта, приходится догадываться где кнопка ""подтвердить"". Прошу привести паркоматы в рабочее состояние и заменить клавиатуры на всей территории платной парковки."
299,Автомобильные дороги,2022-02-23,Разукомплектованое транспортное средство в кармане напротив дома по улице маршала Казакова 82/1
300,Автомобильные дороги,2022-02-23,"Самовольное занятие территории юр лица, штраф от 100 т. Р. Зарегистрирована как безвозмездная парковка не имеющая права ограничивать свободный проход, тем не менее всё в заборе, берут деньги. Полное нарушение договора аренды. Прошу взыскать штраф с юр лица и обеспечить свободный проезд."
301,Автомобильные дороги,2022-02-23,Систематическая парковка на газоне
302,Автомобильные дороги,2022-02-23,"Ворота закрыты - предположительно частными физическими лицами на личный замок. Арка меду 4 и 5 подъездом в доме Московский 204 используется как персональная парковка, при необходимости эти люди открывают ворота по собственному желанию, видимо для проезда их собственных автомобилей. Другие жители двора не могут пользоваться этой аркой для проезда машин. Предполагаю, происходит самовольное ограждение общего проезда в пользу нескольких или одного физических лиц и самовольный захват общей территории в качестве парковки для тех же лиц. Прошу разобраться в ситуации и освободить проезд для всех жителей двора, прекратить парковку автомобилей в арке."
303,Автомобильные дороги,2022-02-23,г. Кронштадт перекрёсток пр. Ленина и ул. Гражданская. На подъездах к перекрёстку ежедневно с 6 и до 21 часа находится припаркованный транспорт в нарушение п. 12.2 ПДД (ближе 5 метров до перекрёстка и менее 3 метров до линии разметки 1.1) из-за чего повороты на перекрёсток водители вынуждены осуществлять с нарушением п. 8.5 ПДД
304,Медицина,2022-02-23,"02.02.22 в поликлинике 95 Колпинского района сдавала тест на Ковид! Ответа до сих пор нет. Ходила лично в поликлинику, взяли номер телефона, сказали, что позвонят, как вопрос решится, звонка нет до сих пор. Ранее уже была написана жалоба 175018971 от 05.02.2022 от поликлиники получила «отписку», что якобы сделан повторный запрос в лабораторию, ответа так же нет. ГДЕ МОЙ Qr код?"
305,Автомобильные дороги,2022-02-23,Незаконная рекламная конструкция KFC.
306,Автомобильные дороги,2022-02-23,Незаконная рекламная конструкция KFC.
307,Автомобильные дороги,2022-02-23,Незаконная рекламная конструкция KFC.
308,Автомобильные дороги,2022-02-23,Перекресток Суздальского и Светлановского. Светофор до сих пор не работает. Очередная авария и разбитые машины. Пора бы починить!!!
309,Автомобильные дороги,2022-02-23,Незаконная рекламная конструкция KFC.
310,Дворы и территории общего пользования,2022-02-23,"Не производится уборка наледи во дворе дома по адресу ул.Чудновского дом 1. Проезжающие автомобили уже цепляют днищем слой льда из-за образовавшейся колеи. Пешеходы вынуждены передвигаться по колее, рискуя травмами. Никакой обработки песком гололеда не производится, состояние двора опасно для людей"
311,Автомобильные дороги,2022-02-23,Незаконная рекламная конструкция АВТОСЕРВИС.
312,Многоквартирные дома,2022-02-23,"В новом ЖК «Живи в курортном» происходит невыполнение управляющей компанией многоквартирного дома минимальных услуг по обеспечению дома. В разных парадных протечки, которые приводят к образованию ржавчин и коррозий материалов и в последствии образованию плесени в вентиляционных шахтах. В парадных запах сырости/канализации/гниения, в квартире ( ванная/туалет/кухня) из раковины/ вентиляционных шахт летят насекомые, появляющиеся в сырых местах и запах канализации."
313,Дворы и территории общего пользования,2022-02-23,"На протяжении недели наблюдаю неудовлетворительную уборку пешеходных дорожек на пешеходной зоне на улице Турку от Бухарестской до Будапештской улиц. В чем проблемы? Нет песка посыпать дорожки, нет техники или горючего для неё? Нет личного состава в подразделениях службы? Да именно службы, которая подразумевает перечень необходимых действий для выполнения поставленных задач. Когда работать начнут? Или уже весна на носу, само всё растает?"
314,Многоквартирные дома,2022-02-23,"Прошу установить личность и привлечь к ответственности соседей, проживающих в д.90 по СПб шоссе, в кв.17, установивших камеру видеонаблюдения на своём балконе. По предварительной информации камера на их балконе установлена по просьбе местной администрации, чтобы охранять незаконно установленный предмет (скамейку) на общедомовой территории. Скамейка была установлена так же незаконно, по письменному заявлению одной из соседок, которая принесла заявление в местную администрацию. Моя мама тоже приносила заявление, где было 8 подписей против установки этой скамейки. У местной администрации 1 подпись ЗА скамейку получилась больше, чем 8 подписей ПРОТИВ и они установили. Протокола собрания тоже нет. 1. Прошу привлечь к ответственности соседей из 17 квартиры за видеонаблюдение за соседями с последующим демонтажем камеры. 2. Прошу привлечь к ответственности местную администрацию за самоуправство и превышение должностных полномочий за установку скамейки и демонтировать этот незаконно установленный предмет с общедомовой территории. Санкт-петербургское ш., д. 90. 23.02.2022 18:00"
315,Многоквартирные дома,2022-02-23,"Санкт-Петербург, Колпино, ул. Павловская д17. Повалились 2 сточные трубы, вода течёт по стене, куски трубы висят в воздухе, могут упасть на прохожих."
316,Дворы и территории общего пользования,2022-02-23,"Добрый день. Возмущению нет предела ! Пишу каждую неделю, а проблема не решается! Присылают отчет о проделанной работе в чужих дворах! Не на моей улице! Гололед и колии уже выше щиколотки! Дети падают,машинам не припарковаться! В соседнем доме вычислили до асфальта(Добровольцев 24) а в добровольцев 26 как был ужас внутри двора так и остался! Очистить дорогу до асфальта! И фотоотчет сс нашим домом,а не чужим"
317,Многоквартирные дома,2022-02-23,"Добрый день. Дом по адресу : проспект Луначарского 84к4 постройки 1988 года. С этого момента фановая труба не менялась. В августе месяце приходил Ваш сантехник и сказал, цитирую ""раз не лопнуло, то и менять ничего не надо"". Посмотрите сами на состояние трубы и какой будет ущерб, если она в любой момент лопнет. Халатное отношение сотрудников ЖКС 1, срок службы данной трубы 30 лет."
318,Многоквартирные дома,2022-02-23,"Добрый день! Дом постройки 1988,с этого момента труба не менялась. В августе месяце был вызван сантехник из жилкомсервиса 1, для осмотра и регистрации факта изношености трубы. На что сантехник сказал, что цитирую ""раз ничего не лопнуло, то менять и не надо"". Данная труба может лопнуть в любой момент и затопить соседей снизу, что приведёт к дорогому ремонту. ЖКС 1 халатео относится к своим прямым обязанностям."
319,Водоснабжение,2022-02-23,"Данное заведение регулярно сливает отходы своей деятельности на соседний участок нарушение всех санитарных норм, нечистоты стекают по всему участку попадают в дренажную канаву и дальше в дренажную систему города. Прошу проверить есть ли у них реальное подключение к канализации, свидетелями слива являются более 15 жилых домов. К система водоснабжения в нашем районе очень старая Мы переживаем что нечистоты могут попасть в систему водоснабжения."
320,Многоквартирные дома,2022-02-23,Реклама на водосточных трубах
321,Многоквартирные дома,2022-02-23,Дальневосточный проспект дом 80 кв 87 живёт нелегальный мигрант более 10 лет. Его никто не проверяет. У него просрочен паспорт. Он ни разу не сделал патент и регистрации по месту жительства. Мы обратили в органы полиции 24 -отделу. Там оказывается его знакомые работают. Его не пробивали а наоборот ему дали справку об утрате документы. Мы хотим чтобы его выгнали из России. Он человек пьющий и скандальный
322,Многоквартирные дома,2022-02-23,"Отсутствует козырёк над парадной у дома по Костромскому 42, 3я парадная. У соседних парадных этого же дома он есть. Фото прилагаю. Крыша у дома покатая, в оттепель с неё падает снег, это не безопасно! Страшно стоять около парадной зимой, а летом под дождём мокнуть."
323,Многоквартирные дома,2022-02-23,"Требуется ремонт фасада, у парадной во дворе."
324,Дворы и территории общего пользования,2022-02-23,Заблокирован проход по тротуару кучей льда и снега.
325,Дворы и территории общего пользования,2022-02-23,Заблокирован проход по тротуару кучей льда и снега.
326,Дворы и территории общего пользования,2022-02-23,Заблокирован проход по тротуару кучей льда и снега.
327,Дворы и территории общего пользования,2022-02-23,Требуется ремонт брусчатки под трубой водостока
328,Образование,2022-02-23,"Здравствуйте. Мы составляли заявление на определение ребёнка в детский сад. Ребенок имеет право на льготу при зачислении (мать ребенка имеет инвалидность 3 группы), но в изменении заявления в плане предоставления документов, подтверждающих право на льготу мне было отказано без комментариев. Формирование групп началось с февраля, однако до сих пор никаких изменений в статусе заявления не произошло. Заявление подавалось через главный сайт госуслуг, поскольку на локальном сайте услуга имела статус ""недоступной"". Заявление номер 1565467864"
329,Дворы и территории общего пользования,2022-02-23,Незаконная рекламная конструкция
330,Многоквартирные дома,2022-02-23,"В доме по адресу пр Обуховской Обороны, 243, подъезд 4, открыта дверь выхода на крышу. Этим пользуются дети, они заходят в подъезд и выходят на крышу! Это угрожает из безопасности! Необходимо закрыть выход на крышу на замок."
331,Автомобильные дороги,2022-02-23,"г. Кронштадт перекрёсток пр. Ленина и ул. Гражданская, введён в эксплуатацию светофорный объект, все светофоры типа Т1 по ГОСТ 52289-2019. Не учтёно, что ул. Гражданская является односторонней к пр. Ленина. В связи с чем светофоры по пр. Ленина (направление движения от ул. Флотской) должны быть в исполнении Т2 со стрелками ""прямо и налево""."
332,Многоквартирные дома,2022-02-23,"4.2.2022 при очистке крыши дома 52 по ул.Бабушкина от снега и наледи, в моей квартире 15 (последний этаж) было разбито балконное окно, о чем я сразу же 4.2.2022 в 15.00 информировала аварийно-диспетчерскую службу УК – ООО ЖКС 2 Невского р-она. В ответ 23.2.2022! мною получен некорректный ответ и УК, нарушающий нормы законодательства РФ, а также с нарушением сроков ответа по подобному обращению, а именно, мне было сообщено, что очистку кровли в соответствии с контрактом между УК и сторонней организаций, производило ИП Хангану И. (ОГРНИП 317784700151816) и все проблемы я должна решать с данной организацией. 1) у меня есть договорные отношения только с УК – ООО ЖКС 2 Невского р-она 2) срок принятия мер по проблеме в зимний период – 24 часа, что было нарушено (понятно, что жить с разбитым окном я не могу и ремонт произвела за свой счет). Никаких извинений и т.п. от ООО ЖКС 2 Невского р-она мною также не получено. ПРОШУ обратить внимание на систематическое уклонение ООО ЖКС 2 Невского р-она от выполнения договорных обязательств, некачественное оказание услуг, некорректное поведение сотрудников и т.п. и рассмотреть целесообразность наличие у данной организации лицензии на оказание жилищно-коммунальных услуг по обслуживанию МКД."
333,Автомобильные дороги,2022-02-23,"г. Кронштадт перекрёсток Кроншоссе с ул. Зосимова и Восстания. Подключенный светофорный объект переведён в режим ""жёлтый мигающий"". 1. Когда вернут в эксплуатацию светофор? 2. Для оптимизации работы светофора необходимо установить допсекцию ""поворот направо"" для потока транспорта по ул. Восстания для включения с основным красным сигналом светофора"
334,Дворы и территории общего пользования,2022-02-23,"Утром в 9:00 началась уборка льда трактором, в выходной день! После чего работники вытащили полусферу , которая была около дома (под окнами, которая установлена, чтобы не ставили машины) и выкинули ее на газон. Сдвинули клумбу, которая была установлена в тех же целях. Зачем убрана полусфера и выкинута на газон?"
335,Автомобильные дороги,2022-02-23,"г. Кронштадт перекрёсток Кронштадтского шоссе - Цитадельская дорога со стороны ул. Адмирала Грейга при установке дублирующего светофора не убрали остатки дерева, из-за чего дублирующий светофор виден только уже на самом перекрёстке и свою функцию не выполняет"
336,Дворы и территории общего пользования,2022-02-23,Складирован снег на газоне больше 1 метра
337,Мусор,2022-02-23,Уже много месяцев (по субъективным ощущениям с лета 2021 года) никто не убирает урну между домами по ул. Беринга 3 и Беринга 5. На месте этой урны уже образовалась свалка. С каждым днём она только растёт. Прошу разобраться в ситуации и устранить эти антисанитарные условия! Прикреплённое фото сделано 23.02.2022. Заранее спасибо.
338,Дворы и территории общего пользования,2022-02-23,Скидывают кучи грязного снега на территорию детской площадки и ближайших газонов
339,Мусор,2022-02-23,"Здравствуйте. Прошу наконец навести порядок и поддерживать его должным образом в районе арки по ростовской 14-16. С уважением, Мальков Дмитрий."
340,Многоквартирные дома,2022-02-23,"Нарушена целостность стены/фундамента дома по периметру, уо - ООО ЖКС 2 Невского р-она свои обязанности по текущему ремонту игнорирует."
341,Дворы и территории общего пользования,2022-02-23,"Всю зиму не убирают снег у парадной по адресу Дунайский пр., д. 3, к. 2, 3 подъезд. Жалобы диспетчеру аварийной службы не помогли. Сейчас невозможно выйти из дома, вся дорожка сплошной каток. Так же совершенно не убирают и дороги на территории всего Пулковского посада. Ходить невозможно, сплошной лёд."
342,Дворы и территории общего пользования,2022-02-23,Прошу очистить территорию от старого брошенного сарая на колёсах
343,Дворы и территории общего пользования,2022-02-23,"Жалоба на УК ООО ""Космосервис третья"". Адрес: Санкт-Петербург, ул летчика лихолетова 14/2 парадные 9, 10, 11. Сплошной каток в дни морозов и лужи по щиколотку в дни оттепели. Не чистят, и не посыпают песком. Сегодня 23.02. не знала, как выйти из парадной. Оба выхода ""заблокированы"" наледью. Пришлось мелкими шажками ползти с внутренней стороны, со двора, там хоть горизонтальная поверхность. С улицы ни разу тротуар не чистили. Требую убрать, коммуналку, повышенную с нового года, платим исправно."
344,Дворы и территории общего пользования,2022-02-23,"Закрыт проезд к дому, при этом обьезда не сделано"
345,Автомобильные дороги,2022-02-23,"Прошу вас сделать светофорный объект по адресу Красное село пр. Ленина д.6 с кнопкой для пешеходов. Дело в том что 90% времени пешеходов здесь нет, а светофор постоянно тормозит движение на шестиполосной дороге. Что существенно снижает пропускную способность дороги. Пешеходы при необходимости будут нажимать кнопку и безопасно переходить проезжую часть."
346,Мусор,2022-02-23,Кругом один мусор! Уборка не производится! Жители близлежащих домов живут как на помойке!
347,Многоквартирные дома,2022-02-23,"Я Петухова Надежда Михайловна, с 27 декабря 21г. обращаюсь в ООО Жилкомсервис №3 Центрального района с просьбой выяснить причину протечки с потолка выше расположенного помещения по адресу: Невский пр. д. 150, Лит.Е, пом 14Н. 28 января повторила свое обращение с просьбой составить акт. Акт составлен не был. По рекомендации домоуправа разобрали потолок с целью подготовки его для осмотра. 09.02.22г. при обращении к главному инженеру, получила устный ответ о том, что с проблемой будут разбираться. 14.02.22 на мой объект вышли домоуправ и мастер участка ЭУ№2., которые осмотрели потолок, убедились в протечке сверху, т.е в междуэтажных перекрытиях, где проходят коммуникации, принадлежащие УК. С тех пор протечка не устранена, мер никто не принимает В моём помещении вода проникает все сильнее и угрожает электрике, что в результате может привести к короткому замыканию и пожару. В общей сложности данная протечка не устраняется 2 месяца. К обращению прикладываю 4 заявления в ООО ЖКС№3 Центрального района."
348,Мусор,2022-02-23,Кругом мусор!!! Никто ничего не убирает!!
349,Мусор,2022-02-23,Груды мусора!!! Никто не убирает!!
350,Общественный транспорт,2022-02-23,"Стоит автобус нарушая пдд 12.4. Остановка запрещается:в местах, где расстояние между сплошной линией разметки (кроме обозначающей край проезжей части), разделительной полосой или противоположным краем проезжей части и остановившимся транспортным средством менее 3 м; (в ред. Постановления Правительства РФ от 24.01.2001 N 67) (см. текст в предыдущей редакции)"
351,Автомобильные дороги,2022-02-23,Устроили парковку на пешеходной зоне. Просьба принять меры.
352,Дворы и территории общего пользования,2022-02-23,Автомобиль без колеса припаркован в проезде. Проезд - не место для хранения неисправных машин
353,Многоквартирные дома,2022-02-23,"В первой парадной не закрыт чердак, прошу починить дверь чердака и закрыть на замок."
354,Автомобильные дороги,2022-02-23,Не проехать! Не заехать на парковку!
355,Медицина,2022-02-23,Нужна запись к спортивному врачу. Не можем дозвониться.
356,Дворы и территории общего пользования,2022-02-23,"Сломано оборудование на детской площадке ( одна качель отсутствует, вторая сломана ). Звездная 14, Космонавтов 94."
357,Дворы и территории общего пользования,2022-02-23,Добрый день. Граффити на заборе с рекламой магазина нелегальных веществ. Просьба устранить
358,Многоквартирные дома,2022-02-23,"Засор фановый трубы от дворового колодца до 2 этажа. На первом этаже труба проходит без подключения к квартире, требуется прочистка горизонтального лежака трубы от дворового колодца до 2 этажа. На данный момент все жильцы 1 парадной над квартирой 9 не могут пользоваться водой, так как сразу затапливает квартиру 9."
359,Многоквартирные дома,2022-02-23,3 дня не работает освещение в 3м подъезде (кв. 17-24) Дмитровский пер. 8 Аварийная служба заявки на ремонт игнорирует. Прошу принять меры.
360,Автомобильные дороги,2022-02-23,Неправильная парковка !!! Загородил проход всем службам
